Fecha,IPM,TC,RIN ,IPC,RATE,DIPM,DTC,DRIN,DIPC
2003-1,2.83506,1.25634,9.18519,4.41828,3.75,13.73166,0.83108,12.50532,2.25690
2003-2,2.85371,1.25004,9.21777,4.42295,3.8,12.48664,0.16400,13.17984,2.76396
2003-3,2.84717,1.24993,9.24303,4.43407,3.82,7.76170,0.65330,17.18115,3.33857
2003-4,2.80982,1.24554,9.24188,4.43356,3.84,1.97256,0.69980,13.92729,2.56103
2003-5,2.88617,1.24686,9.23065,4.43324,3.78,6.81493,0.92160,12.37214,2.39028
2003-6,2.90421,1.24515,9.21771,4.42850,3.74,7.20489,-0.02949,9.03019,2.14356
2003-7,2.88562,1.24360,9.20775,4.42700,3.47,1.65358,-1.71755,4.02464,1.95993
2003-8,2.89522,1.24523,9.19672,4.42714,3.01,4.59117,-2.50080,-1.76997,1.87255
2003-9,2.96723,1.24621,9.20893,4.43271,2.77,16.88525,-3.89581,-0.99404,1.95715
2003-10,2.98515,1.24379,9.21241,4.43320,2.71,14.67393,-3.83124,-0.60717,1.29078
2003-11,3.02492,1.24284,9.24471,4.43487,2.6,17.29055,-2.96840,5.52212,1.85849
2003-12,3.05881,1.24441,9.22931,4.44050,2.51,19.53328,-1.26301,5.90091,2.45341
2004-1,3.13978,1.24680,9.25529,4.44586,2.41,30.47227,-0.95385,7.01035,2.75827
2004-2,3.16529,1.24964,9.24401,4.45666,2.52,31.15785,-0.03924,2.62470,3.37077
2004-3,3.22543,1.24537,9.23849,4.46125,2.48,37.82659,-0.45611,-0.45434,2.71858
2004-4,3.15396,1.24649,9.24402,4.46103,2.49,34.41363,0.09518,0.21384,2.74668
2004-5,3.15619,1.24953,9.27523,4.46456,2.48,27.00157,0.26673,4.45834,3.13193
2004-6,3.17614,1.24576,9.29806,4.47018,2.46,27.19260,0.06095,8.03489,4.16840
2004-7,3.19429,1.23637,9.30739,4.47211,2.44,30.86768,-0.72350,9.96391,4.51065
2004-8,3.23211,1.22133,9.31055,4.47202,2.67,33.68872,-2.38970,11.38311,4.48766
2004-9,3.22886,1.20976,9.34694,4.47218,2.73,26.16311,-3.64533,13.80153,3.94730
2004-10,3.32372,1.19850,9.43064,4.47194,2.93,33.85730,-4.52964,21.82283,3.87453
2004-11,3.27583,1.19352,9.42817,4.47481,3.02,25.09069,-4.93128,18.34544,3.99358
2004-12,3.28391,1.18702,9.44271,4.47472,3,22.51024,-5.73851,21.33944,3.42186
2005-1,3.31628,1.18445,9.47041,4.47572,2.98,17.65017,-6.23562,21.51188,2.98595
2005-2,3.32465,1.18100,9.48699,4.47337,2.9,15.93574,-6.86408,24.29732,1.67083
2005-3,3.34271,1.18403,9.50219,4.47985,2.93,11.72767,-6.13356,26.37058,1.85953
2005-4,3.35422,1.18311,9.50686,4.48104,3.03,20.02664,-6.33845,26.28342,2.00105
2005-5,3.33585,1.18228,9.53576,4.48230,3.01,17.96616,-6.72505,26.05232,1.77408
2005-6,3.35363,1.18055,9.53597,4.48493,2.99,17.74880,-6.52124,23.79155,1.47525
2005-7,3.35856,1.18175,9.62946,4.48598,3.01,16.42724,-5.46210,32.20706,1.38689
2005-8,3.37924,1.18136,9.52108,4.48418,2.96,14.71279,-3.99691,21.05313,1.21666
2005-9,3.41688,1.19437,9.54979,4.48324,2.99,18.80168,-1.53907,20.28487,1.10565
2005-10,3.44683,1.21758,9.54041,4.48469,3.04,12.31031,1.90791,10.97749,1.27408
2005-11,3.47601,1.21321,9.52597,4.48537,3.02,20.01781,1.96896,9.78000,1.05550
2005-12,3.55052,1.22837,9.55186,4.48955,3.34,26.66118,4.13439,10.91509,1.48321
2006-1,3.57362,1.21893,9.54595,4.49453,3.58,25.73410,3.44833,7.55452,1.88147
2006-2,3.58563,1.18828,9.53932,4.50000,3.82,26.09801,0.72732,5.23292,2.66315
2006-3,3.57699,1.20773,9.56781,4.50456,4.12,23.42826,2.37007,6.56183,2.47118
2006-4,3.71009,1.20550,9.56752,4.50965,4.42,35.58635,2.23921,6.06641,2.86114
2006-5,3.84528,1.19105,9.55291,4.50436,4.48,50.94328,0.87765,1.71530,2.20553
2006-6,3.81114,1.18598,9.57635,4.50303,4.53,45.75113,0.54369,4.03802,1.80951
2006-7,3.82426,1.18055,9.58308,4.50132,4.5,46.56939,-0.11947,-4.63831,1.53437
2006-8,3.82809,1.17526,9.63593,4.50272,4.44,44.88493,-0.61030,11.48528,1.85339
2006-9,3.83417,1.17605,9.65088,4.50299,4.51,41.72981,-1.83179,10.10831,1.97508
2006-10,3.84514,1.17592,9.68661,4.50343,4.5,39.83107,-4.16544,14.61987,1.87418
2006-11,3.87489,1.16597,9.72625,4.50060,4.48,39.88863,-4.72434,20.02844,1.52360
2006-12,3.85344,1.16052,9.75628,4.50086,4.51,30.29165,-6.78482,20.44184,1.13106
2007-1,3.80702,1.15553,9.78165,4.50095,4.47,23.33955,-6.34040,23.56960,0.64213
2007-2,3.79197,1.15610,9.80046,4.50355,4.48,20.63449,-3.21714,26.11426,0.35448
2007-3,3.77068,1.15987,9.80995,4.50703,4.51,19.36943,-4.78618,24.21408,0.24659
2007-4,3.84624,1.15878,9.87355,4.50881,4.51,13.61551,-4.67178,30.60313,-0.08408
2007-5,3.89685,1.15781,9.95826,4.51371,4.49,5.15719,-3.32438,40.53457,0.93594
2007-6,3.83420,1.15850,9.97697,4.51840,4.52,2.30617,-2.74844,40.06213,1.53716
2007-7,3.90295,1.15534,10.04794,4.52315,4.69,7.86923,-2.52129,46.48599,2.18216
2007-8,3.92004,1.15194,10.07840,4.52451,4.77,9.19563,-2.33196,44.24709,2.17972
2007-9,3.91376,1.14134,10.05614,4.53062,4.97,7.95863,-3.47141,40.52635,2.76299
2007-10,3.96303,1.10708,10.14552,4.53375,4.98,11.78938,-6.88443,45.89146,3.03274
2007-11,3.94513,1.09413,10.19699,4.53486,4.99,7.02367,-7.18455,47.07383,3.42623
2007-12,3.89274,1.08679,10.23082,4.53939,4.99,3.92978,-7.37321,47.45409,3.85251
2008-1,3.94640,1.07586,10.33069,4.54160,4.44,13.93876,-7.96692,54.90394,4.06488
2008-2,3.97297,1.06194,10.37701,4.55063,5.02,18.09983,-9.41611,57.65501,4.70868
2008-3,3.98819,1.03360,10.41039,4.56100,5.21,21.75010,-12.62696,60.04377,5.39691
2008-4,3.96429,1.01389,10.46665,4.56254,5.37,11.80514,-14.48903,59.30967,5.37296
2008-5,3.90833,1.03573,10.45541,4.56623,5.52876,1.14728,-12.20768,49.71495,5.25111
2008-6,3.92058,1.06723,10.47906,4.57389,5.6801,8.63860,-9.12704,50.20846,5.54917
2008-7,3.89853,1.05066,10.44771,4.57943,5.91071,-0.44201,-10.46736,39.97713,5.62869
2008-8,3.79698,1.06468,10.44851,4.58532,6.208432,-12.30644,-8.72606,37.01078,6.08062
2008-9,3.72993,1.08622,10.47077,4.59098,6.43,-18.38257,-5.51220,41.46329,6.03559
2008-10,3.57803,1.12560,10.38911,4.59709,6.6015,-38.49990,1.85212,24.35843,6.33332
2008-11,3.47030,1.12445,10.35615,4.60017,6.5451,-47.48333,3.03229,15.91601,6.53093
2008-12,3.43330,1.12999,10.35537,4.60377,6.5354,-45.94341,4.31988,12.45503,6.43842
2009-1,3.45307,1.14237,10.31369,4.60483,6.57342856,-49.33355,6.65086,-1.69959,6.32234
2009-2,3.51464,1.17035,10.28085,4.60408,6.43575271,-45.83335,10.84089,-9.61556,5.34460
2009-3,3.50990,1.15555,10.32794,4.60767,6.07282322,-47.82837,12.19460,-8.24565,4.66771
2009-4,3.53980,1.13002,10.33191,4.60786,5.3285,-42.44936,11.61319,-13.47370,4.53262
2009-5,3.59488,1.09980,10.34768,4.60743,4.26514,-31.34457,6.40698,-10.77300,4.12079
2009-6,3.65150,1.09916,10.33740,4.60403,3.1308,-26.90820,3.19284,-14.16555,3.01398
2009-7,3.66792,1.10614,10.36747,4.60590,2.24,-23.06156,5.54751,-8.02350,2.64656
2009-8,3.72150,1.08443,10.36086,4.60382,1.33,-7.54817,1.97497,-8.76455,1.85019
2009-9,3.77133,1.06758,10.38920,4.60295,1.2031,4.13923,-1.86371,-8.15757,1.19737
2009-10,3.84683,1.05772,10.41308,4.60417,1.15272,26.87950,-6.78772,2.39720,0.70866
2009-11,3.89631,1.05517,10.42773,4.60305,1.219002352,42.60089,-6.92790,7.15811,0.28799
2009-12,3.92999,1.05198,10.41953,4.60622,1.24234,49.66873,-7.80047,6.41634,0.24502
2010-1,3.93836,1.04576,10.44893,4.60917,1,48.52901,-9.66070,13.52313,0.43477
2010-2,3.89442,1.04579,10.45258,4.61239,1.21524,37.97844,-12.45629,17.17243,0.83158
2010-3,3.91418,1.04343,10.45870,4.61520,1.23264,40.42750,-11.21139,13.07669,0.75242
2010-4,3.93250,1.04817,10.45487,4.61545,1.2197,39.26994,-8.18582,12.29640,0.75877
2010-5,3.95519,1.04698,10.45400,4.61783,1.4461,36.03125,-5.28275,10.63280,1.03936
2010-6,3.93557,1.04445,10.47781,4.62033,1.62,28.40688,-5.47080,14.04105,1.63005
2010-7,3.92041,1.03983,10.55480,4.62397,1.9,25.24960,-6.63074,18.73278,1.80683
2010-8,3.97367,1.03186,10.59420,4.62665,2.377,25.21711,-5.25695,23.33323,2.28260
2010-9,4.01008,1.02638,10.66375,4.62633,2.741,23.87555,-4.11981,27.45556,2.33782
2010-10,4.08113,1.02928,10.67362,4.62491,2.945,23.42990,-2.84437,26.05418,2.07344
2010-11,4.11729,1.02823,10.70025,4.62499,2.974,22.09864,-2.69424,27.25149,2.19348
2010-12,4.11644,1.03199,10.70785,4.62677,2.9789,18.64483,-1.99907,28.83199,2.05518
2011-1,4.15701,1.02279,10.70880,4.63067,3.2107,21.86500,-2.29664,25.98739,2.14938
2011-2,4.15968,1.01717,10.73036,4.63448,3.3868,26.52627,-2.86216,27.77781,2.20898
2011-3,4.17989,1.02213,10.72606,4.64148,3.6787,26.57120,-2.13026,26.73530,2.62857
2011-4,4.18857,1.03968,10.74022,4.64827,3.9686,25.60675,-0.84815,28.53482,3.28182
2011-5,4.19078,1.02062,10.74754,4.64803,4.2338,23.55863,-2.63549,29.35408,3.02054
2011-6,4.19548,1.01547,10.76818,4.64902,4.277,25.99063,-2.89757,29.03625,2.86910
2011-7,4.21078,1.00991,10.76776,4.65692,4.2598,29.03698,-2.99259,21.29596,3.29563
2011-8,4.24793,1.00903,10.78535,4.65958,4.2298,27.42651,-2.28284,19.11506,3.29294
2011-9,4.19101,1.00985,10.78413,4.66291,4.272,18.09331,-1.65313,12.03815,3.65858
2011-10,4.09260,1.00647,10.79559,4.66606,4.2683,1.14687,-2.28083,12.19698,4.11476
2011-11,4.11373,0.99216,10.80259,4.67036,4.2555,-0.35589,-3.60647,10.23431,4.53735
2011-12,4.11286,0.99049,10.80875,4.67307,4.2422,-0.35815,-4.15033,10.08957,4.62958
2012-1,4.12838,0.98977,10.84066,4.67205,4.2288,-2.86338,-3.30236,13.18585,4.13853
2012-2,4.13092,0.98546,10.87265,4.67530,4.2284,-2.87629,-3.17064,14.22947,4.08132
2012-3,4.12311,0.98189,10.91754,4.68293,4.25,-5.67796,-4.02379,19.14840,4.14441
2012-4,4.09446,0.98137,10.95349,4.68823,4.241,-9.41089,-5.83104,21.32631,3.99594
2012-5,4.09725,0.98199,10.95450,4.68862,4.2429,-9.35330,-3.86271,20.69506,4.05890
2012-6,4.06230,0.98035,10.96329,4.68825,4.231,-13.31809,-3.51203,19.51114,3.92310
2012-7,4.07455,0.97081,10.96458,4.68916,4.2458,-13.62310,-3.90975,19.68170,3.22359
2012-8,4.04387,0.96208,10.99646,4.69423,4.2191,-20.40613,-4.69533,21.11116,3.46524
2012-9,4.08841,0.95694,11.02219,4.69964,4.234,-10.26004,-5.29069,23.80558,3.67285
2012-10,4.09698,0.95200,11.03436,4.69801,4.2392,0.43821,-5.44745,23.87695,3.19504
2012-11,4.09520,0.95251,11.05471,4.69663,4.2479,-1.85317,-3.96547,25.21211,2.62698
2012-12,4.11014,0.94198,11.07744,4.69922,4.2439,-0.27214,-4.85088,26.86879,2.61488
2013-1,4.09364,0.93599,11.11458,4.70037,4.1518,-3.47313,-5.37816,27.39214,2.83161
2013-2,4.06848,0.94438,11.11317,4.69950,4.2008,-6.24420,-4.10851,24.05236,2.42004
2013-3,4.02083,0.95238,11.11611,4.70852,4.2404,-10.22803,-2.95089,19.85744,2.55881
2013-4,3.98333,0.95880,11.12511,4.71104,4.2005,-11.11281,-2.25702,17.16278,2.28074
2013-5,3.94611,0.97388,11.11509,4.71297,4.2542,-15.11325,-0.81132,16.05945,2.43489
2013-6,3.92691,1.00972,11.11731,4.71559,4.2605,-13.53893,2.93687,15.40213,2.73305
2013-7,3.89222,1.02528,11.11950,4.72106,4.3269,-18.23321,5.44717,15.49256,3.18971
2013-8,3.90838,1.03123,11.10597,4.72647,4.5161,-13.54904,6.91551,10.95141,3.22403
2013-9,3.93527,1.02234,11.10695,4.72756,4.2737,-15.31468,6.53970,8.47658,2.79151
2013-10,3.90450,1.01876,11.10410,4.72794,4.2484,-19.24728,6.67675,6.97394,2.99323
2013-11,3.89048,1.02577,11.10252,4.72575,4.183,-20.47265,7.32596,4.78093,2.91232
2013-12,3.87567,1.02336,11.09947,4.72741,4.0884,-23.44615,8.13779,2.20333,2.81956
2014-1,3.87354,1.03092,11.08248,4.73057,4.121,-22.01012,9.49318,-3.20985,3.02055
2014-2,3.88545,1.02956,11.07960,4.73657,4.1738,-18.30320,8.51877,-3.35784,3.70677
2014-3,3.85067,1.03067,11.07456,4.74174,4.0133,-17.01618,7.82864,-4.15514,3.32213
2014-4,3.85549,1.03197,11.07176,4.74566,4.0539,-12.78410,7.31693,-5.33511,3.46251
2014-5,3.82431,1.02714,11.08197,4.74791,3.954,-12.18048,5.32579,-3.31206,3.49389
2014-6,3.83758,1.02867,11.08671,4.74950,3.9999,-8.93302,1.89531,-3.05954,3.39149
2014-7,3.86899,1.03086,11.08866,4.75382,3.8491,-2.32303,0.55806,-3.08400,3.27688
2014-8,3.85757,1.03635,11.07917,4.75297,3.7588,-5.08111,0.51119,-2.68025,2.64979
2014-9,3.83235,1.05304,11.07033,4.75457,3.6975,-10.29181,3.06969,-3.66258,2.70144
2014-10,3.78161,1.06637,11.05979,4.75835,3.5292,-12.28944,4.76083,-4.43096,3.04132
2014-11,3.76729,1.06862,11.05688,4.75686,3.6415,-12.31823,4.28557,-4.56399,3.11023
2014-12,3.76466,1.08305,11.04345,4.75914,3.7956,-11.10158,5.96917,-5.60176,3.17318
2015-1,3.72066,1.09768,11.04035,4.76084,3.3439,-15.28863,6.67547,-4.21316,3.02698
2015-2,3.70112,1.11876,11.03174,4.76387,3.4305,-18.43248,8.91922,-4.78580,2.73095
2015-3,3.64947,1.12740,11.01915,4.77149,3.3527,-20.11964,9.67308,-5.54159,2.97549
2015-4,3.67978,1.14294,11.02445,4.77539,3.5151,-17.57091,11.09654,-4.73154,2.97278
2015-5,3.70246,1.15101,11.01328,4.78102,3.4798,-12.18481,12.38757,-6.86943,3.31079
2015-6,3.69145,1.15472,11.01483,4.78434,3.4243,-14.61221,12.60436,-7.18792,3.48352
2015-7,3.63096,1.16562,10.99664,4.78883,3.4638,-23.80322,13.47601,-9.20262,3.50092
2015-8,3.59573,1.17837,11.01013,4.79260,3.6141,-26.18437,14.20200,-6.90361,3.96309
2015-9,3.55860,1.16941,11.02132,4.79287,3.6609,-27.37539,11.63743,-4.90117,3.83026
2015-10,3.59566,1.17632,11.03833,4.79430,3.521,-18.59510,10.99472,-2.14561,3.59481
2015-11,3.53962,1.19865,11.04113,4.79774,3.5,-22.76770,13.00323,-1.57533,4.08786
2015-12,3.47644,1.21349,11.02798,4.80218,3.765,-28.82227,13.04433,-1.54750,4.30396
2016-1,3.49312,1.23133,10.99374,4.80590,3.973,-22.75348,13.36552,-4.66076,4.50564
2016-2,3.48897,1.24866,11.00568,4.80764,4.5857,-21.21534,12.99037,-2.60598,4.37657
2016-3,3.57517,1.22523,11.02135,4.81360,4.8352,-7.43006,9.78337,0.22041,4.21115
2016-4,3.57102,1.20013,11.02053,4.81372,4.4641,-10.87591,5.71936,-0.39203,3.83281
2016-5,3.55236,1.20755,11.01509,4.81581,4.4392,-15.01044,5.65306,0.18178,3.47938
2016-6,3.55571,1.20399,11.00715,4.81721,4.3666,-13.57494,4.92712,-0.76807,3.28700
2016-7,3.61682,1.20318,11.02086,4.81802,4.2855,-1.41357,3.75545,2.42198,2.91894
2016-8,3.59278,1.20792,11.02685,4.82160,4.1886,-0.29437,2.95561,1.67167,2.90007
2016-9,3.60775,1.21868,11.02299,4.82366,4.2501,4.91541,4.92662,0.16718,3.07879
2016-10,3.56988,1.21606,11.03607,4.82779,4.2555,-2.57783,3.97449,-0.22646,3.34859
2016-11,3.64819,1.21649,11.02985,4.83068,4.2852,10.85715,1.78371,-1.12744,3.29475
2016-12,3.67509,1.21488,11.02987,4.83402,4.374,19.86571,0.13909,0.18975,3.18366
2017-1,3.65570,1.20216,11.03306,4.83640,4.2517,16.25806,-2.91745,3.93141,3.04939
2017-2,3.69997,1.17644,11.04114,4.83962,4.249,21.10040,-7.22165,3.54657,3.19810
2017-3,3.71504,1.18345,11.04168,4.85258,4.2453,13.98649,-4.17846,2.03299,3.89789
2017-4,3.66628,1.18509,11.05012,4.85000,4.2922,9.52541,-1.50448,2.95930,3.62810
2017-5,3.69180,1.18864,11.05813,4.84576,4.0746,13.94431,-1.89043,4.30333,2.99452
2017-6,3.69760,1.18985,11.05654,4.84416,4.002,14.18951,-1.41345,4.93924,2.69578
2017-7,3.68529,1.18847,11.05445,4.84614,3.8392,6.84689,-1.47081,3.35901,2.81215
2017-8,3.77463,1.18069,11.02817,4.85284,3.7296,18.18453,-2.72350,0.13228,3.12449
2017-9,3.79628,1.17653,11.06760,4.85269,3.612,18.85311,-4.21467,4.46076,2.90246
2017-10,3.81772,1.17423,11.06149,4.84798,3.5012,24.78347,-4.18338,2.54208,2.01961
2017-11,3.82267,1.16587,11.05828,4.84601,3.3541,17.44804,-5.06182,2.84300,1.53253
2017-12,3.80071,1.16906,11.06089,4.84758,3.2568,12.56183,-4.58210,3.10134,1.35563
2018-1,3.84844,1.16449,11.05800,4.84885,3.0962,19.27418,-3.76679,2.49429,1.24540
2018-2,3.84507,1.17472,11.03403,4.85135,3.0108,14.50920,-0.17239,-0.71162,1.17266
2018-3,3.78770,1.18147,11.03524,4.85621,2.8079,7.26681,-0.19818,-0.64425,0.36248
2018-4,3.79213,1.18105,11.00524,4.85484,2.7517,12.58571,-0.40367,-4.48847,0.48370
2018-5,3.80218,1.18823,11.00195,4.85502,2.7579,11.03831,-0.04137,-5.61754,0.92639
2018-6,3.80846,1.19023,10.99759,4.85836,2.7849,11.08556,0.03732,-5.89517,1.41922
2018-7,3.75524,1.19680,11.01977,4.86218,2.7428,6.99552,0.83301,-3.46734,1.60318
2018-8,3.70774,1.19522,10.99857,4.86349,2.7502,-6.68928,1.45317,-2.96054,1.06489
2018-9,3.66812,1.19544,10.96299,4.86541,2.7462,-12.81592,1.89069,-10.46081,1.27215
2018-10,3.70023,1.19903,10.97909,4.86622,2.7694,-11.74890,2.48050,-8.24047,1.82415
2018-11,3.68982,1.20588,11.00182,4.86745,2.7525,-13.28466,4.00099,-5.64584,2.14395
2018-12,3.70128,1.20462,11.00410,4.86926,2.7544,-9.94301,3.55643,-5.67845,2.16883
2019-1,3.71339,1.20421,11.02682,4.86992,2.752,-13.50521,3.97213,-3.11741,2.10681
2019-2,3.66981,1.19796,11.05545,4.87118,2.7514,-17.52525,2.32409,2.14203,1.98358
2019-3,3.69497,1.19824,11.05200,4.87843,2.7542,-9.27328,1.67711,1.67632,2.22256
2019-4,3.73805,1.20406,11.08093,4.88043,2.7524,-5.40876,2.30087,7.56990,2.55961
2019-5,3.71776,1.20589,11.09965,4.88191,2.7504,-8.44261,1.76599,9.77038,2.68866
2019-6,3.73239,1.20601,11.11546,4.88104,2.7923,-7.60672,1.57795,11.78619,2.26885
2019-7,3.74734,1.20041,11.11397,4.88308,2.7527,-0.79068,0.36095,9.41942,2.08992
2019-8,3.74485,1.22252,11.12236,4.88368,2.5642,3.71183,2.73013,12.37958,2.01920
2019-9,3.74443,1.20844,11.12124,4.88375,2.5038,7.63091,1.29986,15.82517,1.83408
2019-10,3.70510,1.20622,11.13029,4.88486,2.5045,0.48716,0.71850,15.12033,1.86310
2019-11,3.69955,1.20500,11.11988,4.88594,2.2984,0.97267,-0.08858,11.80591,1.84959
2019-12,3.73001,1.20204,11.13212,4.88809,2.2501,2.87310,-0.25863,12.80208,1.88227
