Unnamed: 0,N°,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO,DISPOSITIVO LEGAL DE LICENCIAMIENTO O DENEGATORIA,CONDICIÓN JURÍDICA,DIRECCION,latitude,longitude
19,20,Universidad de Huánuco,Huánuco,Huánuco,Ley N° 25049,20/06/1989,,06/06/2019,Universidad privada,Res. N° 076-2019-SUNEDU/CD,Asociativa,Universidad de Huánuco Huánuco Huánuco,-9.9284112,-76.2371722
20,21,Universidad José Carlos Mariátegui (*2),Moquegua,Mariscal Nieto,Ley N° 25153,24/12/1989,,,Universidad privada,,Asociativa,Universidad José Carlos Mariátegui (*2) Moquegua Mariscal Nieto,-17.1900294,-70.9423867
21,22,Universidad Marcelino Champagnat,Lima,Lima,Ley N° 25180,05/01/1990,,12/10/2017,Universidad privada,Res. N° 041-2017-SUNEDU/CD,Asociativa,Universidad Marcelino Champagnat Lima Lima,-12.13674,-77.00605639999999
22,23,Universidad Científica del Perú (*3),Loreto,Maynas,Ley N° 25213,29/05/1990,,,Universidad privada,,Asociativa,Universidad Científica del Perú (*3) Loreto Maynas,-3.7694078,-73.2820646
23,24,Universidad César Vallejo S.A.C.,La Libertad,Trujillo,Ley N° 25350,12/11/1991,,12/06/2019,Universidad privada,Res. N° 077-2019-SUNEDU/CD,Societaria,Universidad César Vallejo S.A.C. La Libertad Trujillo,-8.1293904,-79.0433213
24,25,Universidad Católica Los Ángeles de Chimbote (*4),Ancash,Santa,Ley N° 24163,10/06/1985,,,Universidad privada,,Asociativa,Universidad Católica Los Ángeles de Chimbote (*4) Ancash Santa,-9.0784016,-78.5889924
25,26,Universidad Peruana de Ciencias Aplicadas S.A.C.,Lima,Lima,Ley N° 26276,03/01/1994,,06/10/2017,Universidad privada,Res. N° 037-2017-SUNEDU/CD,Societaria,Universidad Peruana de Ciencias Aplicadas S.A.C. Lima Lima,-12.104061,-76.962902
26,27,Universidad Privada del Norte S.A.C.,La Libertad,Trujillo,Ley N° 26275,03/01/1994,,11/11/2017,Universidad privada,Res. N° 062-2017-SUNEDU/CD,Societaria,Universidad Privada del Norte S.A.C. La Libertad Trujillo,-8.099882,-79.01906369999999
27,28,Universidad San Ignacio de Loyola S.A.,Lima,Lima,Res. N° 060-95-CONAFU,07/12/1995,,08/10/2017,Universidad privada,Res. N° 039-2017-SUNEDU/CD,Societaria,Universidad San Ignacio de Loyola S.A. Lima Lima,-12.0733251,-76.95194459999999
28,29,Universidad Alas Peruanas,Lima,Lima,Res. N° 102-96-CONAFU,26/04/1996,,,Universidad privada,,Societaria,Universidad Alas Peruanas Lima Lima,-12.0814023,-77.0467478
29,30,Universidad Privada Norbert Wiener,Lima,Lima,Res. N° 177-96-CONAFU,09/12/1996,,,Universidad privada,,Societaria,Universidad Privada Norbert Wiener Lima Lima,-12.0688186,-77.036985
30,31,Universidad Católica San Pablo,Arequipa,Arequipa,Res. N° 190-97-CONAFU,10/01/1997,,22/10/2017,Universidad privada,Res. N° 042-2017-SUNEDU/CD,Asociativa,Universidad Católica San Pablo Arequipa Arequipa,-16.3900752,-71.5354639
31,32,Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13),Ica,Ica,Res. N° 222-97-CONAFU,19/03/1997,,,Universidad privada,,Societaria,Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13) Ica Ica,-14.0767574,-75.73588579999999
32,33,Universidad Privada San Juan Bautista S.A.C. (*6),Lima,Lima,Res. N° 224-97-CONAFU,19/03/1997,,,Universidad privada,,Societaria,Universidad Privada San Juan Bautista S.A.C. (*6) Lima Lima,-11.9888573,-77.060934
33,34,Universidad Tecnológica del Perú,Lima,Lima,Res. N° 278-97-CONAFU,08/09/1997,,13/06/2019,Universidad privada,Res. N° 081-2019-SUNEDU/CD,Societaria,Universidad Tecnológica del Perú Lima Lima,-12.0642955,-77.0369772
34,35,Universidad Continental S.A.C. (*7),Junín,Huancayo,Res. N° 429-98-CONAFU,30/06/1998,,11/08/2018,Universidad privada,Res. N° 094-2018-SUNEDU/CD,Societaria,Universidad Continental S.A.C. (*7) Junín Huancayo,-12.0476664,-75.1987032
35,36,Universidad Científica del Sur S.A.C.,Lima,Lima,Res. N° 356-98-CONAFU,05/02/1998,,02/05/2018,Universidad privada,Res. N° 039-2018-SUNEDU/CD,Societaria,Universidad Científica del Sur S.A.C. Lima Lima,-12.2216386,-76.9767202
36,37,Universidad Católica Santo Toribio de Mogrovejo,Lambayeque,Chiclayo,Res. N° 474-98-CONAFU,14/10/1998,,22/03/2018,Universidad privada,Res. N° 031-2018-SUNEDU/CD,Asociativa,Universidad Católica Santo Toribio de Mogrovejo Lambayeque Chiclayo,-6.7603743,-79.86303319999999
37,38,Universidad Privada Antonio Guillermo Urrelo,Cajamarca,Cajamarca,Res. N° 490-98-CONAFU,19/11/1998,,,Universidad privada,,Societaria,Universidad Privada Antonio Guillermo Urrelo Cajamarca Cajamarca,-7.171680299999999,-78.501215
38,39,Universidad Católica Sedes Sapientiae,Lima,Lima,Res. N° 688-99-CONAFU,27/12/1999,,13/09/2018,Universidad privada,Res. N° 117-2018-SUNEDU/CD,Asociativa,Universidad Católica Sedes Sapientiae Lima Lima,-11.9953135,-77.0672307
39,40,Universidad Señor de Sipán,Lambayeque,Chiclayo,Res. N° 575-99-CONAFU,05/07/1999,,,Universidad privada,,Societaria,Universidad Señor de Sipán Lambayeque Chiclayo,-6.7950553,-79.88521779999999
40,41,Universidad Católica de Trujillo Benedicto XVI (*8),La Libertad,Trujillo,Res. N° 147-2000-CONAFU,13/11/2000,,21/02/2019,Universidad privada,Res. N° 018-2019-SUNEDU/CD,Asociativa,Universidad Católica de Trujillo Benedicto XVI (*8) La Libertad Trujillo,-8.1602468,-79.0111745
41,42,Universidad Peruana de las Américas,Lima,Lima,Res. N° 199-2002-CONAFU,14/08/2002,,,Universidad privada,,Societaria,Universidad Peruana de las Américas Lima Lima,-12.0631513,-77.0378175
42,43,Universidad ESAN,Lima,Lima,Ley N° 28021,10/07/2003,,10/04/2018,Universidad privada,Res. N° 038-2018-SUNEDU/CD,Asociativa,Universidad ESAN Lima Lima,,
43,44,Universidad Antonio Ruiz de Montoya,Lima,Lima,Res. N° 055-2003-CONAFU,05/03/2003,,03/06/2017,Universidad privada,Res. N° 018-2017-SUNEDU/CD,Asociativa,Universidad Antonio Ruiz de Montoya Lima Lima,-12.0701332,-77.05902850000001
44,45,Universidad Peruana de Ciencias e Informática,Lima,Lima,Res. N° 167-2002-CONAFU,19/07/2002,,,Universidad privada,,Societaria,Universidad Peruana de Ciencias e Informática Lima Lima,-12.0721316,-77.0420936
45,46,Universidad para el Desarrollo Andino,Huancavelica,Angaraes,Res. N° 148-2002-CONAFU,12/06/2002,,28/09/2016,Universidad privada,Res. N° 034-2016-SUNEDU/CD,Asociativa,Universidad para el Desarrollo Andino Huancavelica Angaraes,-12.9875657,-74.721313
46,47,Universidad Privada Telesup,Lima,Lima,Res. N° 037-2004-CONAFU,19/02/2004,,30/05/2019,Universidad privada,Res. N° 068-2019-SUNEDU/CD,Societaria,Universidad Privada Telesup Lima Lima,-12.0640089,-77.0345749
47,48,Universidad Sergio Bernales S.A.,Lima,Cañete,Res. N° 171-2002-CONAFU,26/07/2002,,05/04/2019,Universidad privada,Res. N° 044-2019-SUNEDU/CD,Societaria,Universidad Sergio Bernales S.A. Lima Cañete,-13.0731319,-76.3678548
48,49,Universidad Privada de Pucallpa S.A.C.,Ucayali,Coronel Portillo,Res. N° 093-2005-CONAFU,15/03/2005,,09/08/2019,Universidad privada,Res. N° 106-2019-SUNEDU/CD,Societaria,Universidad Privada de Pucallpa S.A.C. Ucayali Coronel Portillo,-8.388075299999999,-74.5313108
49,50,Universidad Autónoma de Ica S.A.C. (*9),Ica,Chincha,Res. N° 136-2006-CONAFU,29/05/2006,,,Universidad privada,,Societaria,Universidad Autónoma de Ica S.A.C. (*9) Ica Chincha,-13.4156394,-76.1286726
50,51,Universidad Privada de Trujillo,La Libertad,Trujillo,Res. N° 510-2011-CONAFU,06/10/2011,,,Universidad privada,,Asociativa,Universidad Privada de Trujillo La Libertad Trujillo,-8.1080914,-78.99443049999999
51,52,Universidad Privada San Carlos,Puno,Puno,Res. N° 354-2006-CONAFU,25/10/2006,,,Universidad privada,,Societaria,Universidad Privada San Carlos Puno Puno,-15.8395008,-70.0295166
52,53,Universidad Peruana Simón Bolivar,Lima,Lima,Res. N° 349-2006-CONAFU,25/10/2006,,22/02/2019,Universidad privada,Res. N° 019-2019-SUNEDU/CD,Societaria,Universidad Peruana Simón Bolivar Lima Lima,-12.0714689,-77.0510524
53,54,Universidad Peruana de Integración Global S.A.C.,Lima,Lima,Res. N° 099-2007-CONAFU,29/03/2007,,30/10/2018,Universidad privada,Res. N° 146-2018-SUNEDU/CD,Societaria,Universidad Peruana de Integración Global S.A.C. Lima Lima,-12.134611,-76.979023
54,55,Universidad Peruana del Oriente S.A.C.,Loreto,Maynas,Res. N° 405-2006-CONAFU,15/12/2006,,,Universidad privada,,Societaria,Universidad Peruana del Oriente S.A.C. Loreto Maynas,-3.772631,-73.282986
55,56,Universidad Autónoma del Perú,Lima,Lima,Res. N° 335-2007-CONAFU,12/12/2007,,29/07/2018,Universidad privada,Res. N° 083-2018-SUNEDU/CD,Societaria,Universidad Autónoma del Perú Lima Lima,-12.195444,-76.9719561
56,57,Universidad de Ciencias y Humanidades,Lima,Lima,Res. N° 411-2006-CONAFU,15/12/2006,,21/11/2017,Universidad privada,Res. N° 071-2017-SUNEDU/CD,Asociativa,Universidad de Ciencias y Humanidades Lima Lima,-11.9615097,-77.0655921
57,58,Universidad Privada Juan Mejía Baca,Lambayeque,Chiclayo,Res. N° 522-2008-CONAFU,19/12/2008,,,Universidad privada,,Societaria,Universidad Privada Juan Mejía Baca Lambayeque Chiclayo,-6.7677972,-79.8325989
58,59,Universidad Jaime Bausate y Meza,Lima,Lima,Ley N° 29278,13/11/2008,,16/06/2018,Universidad privada,Res. N° 057-2018-SUNEDU/CD,Asociativa,Universidad Jaime Bausate y Meza Lima Lima,-12.0849556,-77.0547406
59,60,Universidad Peruana del Centro,Junín,Huancayo,Res. N° 133-2009-CONAFU,11/03/2009,,,Universidad privada,,Asociativa,Universidad Peruana del Centro Junín Huancayo,-12.0700173,-75.2115571
60,61,Universidad Privada Arzobispo Loayza S.A.C,Lima,Lima,Res. N° 129-2009-CONAFU,12/03/2009,,13/06/2019,Universidad privada,Res. N° 080-2019-SUNEDU/CD,Societaria,Universidad Privada Arzobispo Loayza S.A.C Lima Lima,-12.0741046,-77.035806
61,62,Universidad Le Cordon Bleu S.A.C.,Lima,Lima,Res. N° 220-2009-CONAFU,08/05/2009,,16/11/2018,Universidad privada,Res. N° 151-2018-SUNEDU/CD,Societaria,Universidad Le Cordon Bleu S.A.C. Lima Lima,-12.0987694,-77.05647119999999
62,63,Universidad Privada de Huancayo Franklin Roosevelt,Junín,Huancayo,Res. N° 571-2009-CONAFU,20/11/2009,,12/06/2019,Universidad privada,Res. N° 078-2019-SUNEDU/CD,Societaria,Universidad Privada de Huancayo Franklin Roosevelt Junín Huancayo,-12.0421667,-75.19566329999999
63,64,Universidad de Lambayeque S.A.C.,Lambayeque,Chiclayo,Res. N° 010-2010-CONAFU,14/01/2010,,21/12/2018,Universidad privada,Res. N° 169-2018-SUNEDU/CD,Societaria,Universidad de Lambayeque S.A.C. Lambayeque Chiclayo,-6.7745742,-79.8450745
64,65,Universidad de Ciencias y Artes de América Latina S.A.C.,Lima,Lima,Res. N° 011-2010-CONAFU,14/01/2010,,12/10/2016,Universidad privada,Res. N° 035-2016-SUNEDU/CD,Societaria,Universidad de Ciencias y Artes de América Latina S.A.C. Lima Lima,-12.0857224,-76.90866880000002
65,66,Universidad Peruana de Arte Orval S.A.C.,Lima,Lima,Res. N° 029-2010-CONAFU,29/01/2010,,18/10/2018,Universidad privada,Res. N° 141-2018-SUNEDU/CD,Societaria,Universidad Peruana de Arte Orval S.A.C. Lima Lima,-12.1108158,-76.99129719999999
66,67,Universidad Privada de la Selva Peruana (*10),Loreto,Maynas,Res. N° 142-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria,Universidad Privada de la Selva Peruana (*10) Loreto Maynas,-3.7546883,-73.24716320000002
67,68,Universidad Ciencias de la Salud,Arequipa,Arequipa,Res. N° 115-2010-CONAFU,15/03/2010,,,Universidad privada,,Societaria,Universidad Ciencias de la Salud Arequipa Arequipa,-16.4028927,-71.5456435
68,69,Universidad de Ayacucho Federico Froebel,Ayacucho,Huamanga,Res. N° 155-2010-CONAFU,24/03/2010,,,Universidad privada,,Societaria,Universidad de Ayacucho Federico Froebel Ayacucho Huamanga,-13.1483883,-74.22870499999999
69,70,Universidad Peruana de Investigación y Negocios S.A.C.,Lima,Lima,Res. N° 191-2010-CONAFU,08/04/2010,,29/11/2018,Universidad privada,Res. N° 157-2018-SUNEDU/CD,Societaria,Universidad Peruana de Investigación y Negocios S.A.C. Lima Lima,-12.0825755,-77.0462738
70,71,Universidad Peruana Austral del Cusco,Cusco,Cusco,Res. N° 192-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Peruana Austral del Cusco Cusco Cusco,-13.5255413,-71.9515765
71,72,Universidad Autónoma San Francisco,Arequipa,Arequipa,Res. N° 196-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Autónoma San Francisco Arequipa Arequipa,-16.4007953,-71.53905809999999
72,73,Universidad San Andrés,Lima,Lima,Res. N° 197-2010-CONAFU,08/04/2010,,04/07/2019,Universidad privada,Res. N° 087-2019-SUNEDU/CD,Societaria,Universidad San Andrés Lima Lima,-11.9905165,-77.0598493
73,74,Universidad Interamericana para el Desarrollo,Lima,Lima,Res. N° 199-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Interamericana para el Desarrollo Lima Lima,-12.0563556,-77.04450589999999
74,75,Universidad Privada Juan Pablo II,Lima,Lima,Res. N° 200-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Privada Juan Pablo II Lima Lima,-12.0211306,-76.9037173
75,76,Universidad Privada Leonardo Da Vinci S.A.C. (*11),La Libertad,Trujillo,Res. N° 202-2010-CONAFU,08/04/2010,,,Universidad privada,,Societaria,Universidad Privada Leonardo Da Vinci S.A.C. (*11) La Libertad Trujillo,-8.1151,-79.03193999999999
76,77,Universidad de Ingeniería y Tecnología,Lima,Lima,Res. N° 401-2011-CONAFU,12/08/2011,,25/03/2016,Universidad privada,Res. N° 015-2016-SUNEDU/CD,Asociativa,Universidad de Ingeniería y Tecnología Lima Lima,-12.1353732,-77.0220855
77,78,Universidad La Salle,Arequipa,Arequipa,Res. N° 402-2011-CONAFU,12/08/2011,,19/01/2018,Universidad privada,Res. N° 003-2018-SUNEDU/CD,Asociativa,Universidad La Salle Arequipa Arequipa,-16.424163,-71.556192
78,79,Universidad Latinoamericana CIMA,Tacna,Tacna,Res. N° 474-2011-CONAFU,22/09/2011,,,Universidad privada,,Societaria,Universidad Latinoamericana CIMA Tacna Tacna,-18.0155585,-70.242308
79,80,Universidad Privada Autónoma del Sur,Arequipa,Arequipa,Res. N° 506-2011-CONAFU,06/10/2011,,,Universidad privada,,Societaria,Universidad Privada Autónoma del Sur Arequipa Arequipa,-16.4084459,-71.5280816
80,81,Universidad María Auxiliadora,Lima,Lima,Res. N° 649-2011-CONAFU,22/12/2011,,19/10/2018,Universidad privada,Res. N° 143-2018-SUNEDU/CD,Societaria,Universidad María Auxiliadora Lima Lima,-11.97818,-77.01687
81,82,Universidad Politécnica Amazónica S.A.C.,Amazonas,Utcubamba,Res. N° 650-2011-CONAFU,22/12/2011,,,Universidad privada,,Societaria,Universidad Politécnica Amazónica S.A.C. Amazonas Utcubamba,-5.747067599999999,-78.44946809999999
82,83,Universidad Santo Domingo de Guzmán,Lima,Huarochirí,Res. N° 401-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Santo Domingo de Guzmán Lima Huarochirí,-11.9113324,-76.982951
83,84,Universidad Marítima del Perú,Callao,Callao,Res. N° 403-2012-CONAFU,25/07/2012,,18/01/2019,Universidad privada,Res. N° 004-2019-SUNEDU/CD,Societaria,Universidad Marítima del Perú Callao Callao,-12.0614627,-77.1470315
84,85,Universidad Privada Líder Peruana,Cusco,La Convención,Res. N° 404-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Privada Líder Peruana Cusco La Convención,-12.8604607,-72.6921444
85,86,Universidad Privada Peruano Alemana S.AC.,Lima,Lima,Res. N° 405-2012-CONAFU,25/07/2012,,06/08/2019,Universidad privada,Res. N° 105-2019-SUNEDU/CD,Societaria,Universidad Privada Peruano Alemana S.AC. Lima Lima,-12.1661519,-77.0236628
86,87,Universidad Global del Cusco,Cusco,Cusco,Res. N° 406-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Global del Cusco Cusco Cusco,-13.5242195,-71.9436937
87,88,Universidad Santo Tomás de Aquino de Ciencia e Integración,Junín,Huancayo,Res. N° 407-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Santo Tomás de Aquino de Ciencia e Integración Junín Huancayo,-12.0840468,-75.20848769999999
88,89,Universidad Privada SISE,Lima,Lima,Res. N° 408-2012-CONAFU,25/07/2012,,,Universidad privada,,Societaria,Universidad Privada SISE Lima Lima,-12.0776452,-77.0358547
89,90,Universidad Seminario Evangélico de Lima (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa,Universidad Seminario Evangélico de Lima (*12) Lima Lima,-12.0639589,-76.96007399999999
90,91,Universidad Seminario Bíblico Andino (*12),Lima,Lima,Ley N° 30220,09/07/2014,,,Universidad privada,,Asociativa,Universidad Seminario Bíblico Andino (*12) Lima Lima,-12.0696208,-77.0533978
91,92,Universidad Católica San José,Lima,Lima,Real Cédula de Fundación,12/05/1551,,,Universidad privada,,Asociativa,Universidad Católica San José Lima Lima,-12.0836816,-77.0691681
