,iso2_code,year,quarter,num_repos
0,AR,2020,1,608445
1,AR,2020,2,670189
2,AR,2020,3,737110
3,AR,2020,4,802976
4,AR,2021,1,867545
5,AR,2021,2,965194
6,AR,2021,3,1070330
7,AR,2021,4,1180271
8,AR,2022,1,1312481
9,AR,2022,2,1514018
10,AR,2022,3,1692345
11,AR,2022,4,1827329
12,AR,2023,1,1972535
13,AR,2023,2,2158627
14,AR,2023,3,2297445
15,AR,2023,4,2456325
16,AR,2024,1,2557620
17,AR,2024,2,2695815
18,AR,2024,3,2816763
19,AR,2024,4,2910039
20,AR,2025,1,3003205
21,AR,2025,2,0
22,AR,2025,3,0
23,AR,2025,4,0
24,BO,2020,1,83547
25,BO,2020,2,91412
26,BO,2020,3,99402
27,BO,2020,4,107779
28,BO,2021,1,115654
29,BO,2021,2,125608
30,BO,2021,3,135692
31,BO,2021,4,145958
32,BO,2022,1,155711
33,BO,2022,2,168154
34,BO,2022,3,177505
35,BO,2022,4,190767
36,BO,2023,1,202513
37,BO,2023,2,216026
38,BO,2023,3,228538
39,BO,2023,4,243863
40,BO,2024,1,257718
41,BO,2024,2,277189
42,BO,2024,3,295797
43,BO,2024,4,317197
44,BO,2025,1,336333
45,BO,2025,2,0
46,BO,2025,3,0
47,BO,2025,4,0
48,BR,2020,1,3602025
49,BR,2020,2,3977667
50,BR,2020,3,4359081
51,BR,2020,4,4698298
52,BR,2021,1,5097515
53,BR,2021,2,5585692
54,BR,2021,3,6143363
55,BR,2021,4,6636791
56,BR,2022,1,7259627
57,BR,2022,2,7901798
58,BR,2022,3,8587243
59,BR,2022,4,9205113
60,BR,2023,1,9861234
61,BR,2023,2,10568833
62,BR,2023,3,11279341
63,BR,2023,4,11946851
64,BR,2024,1,12598335
65,BR,2024,2,13438772
66,BR,2024,3,14364770
67,BR,2024,4,15242618
68,BR,2025,1,15992738
69,BR,2025,2,0
70,BR,2025,3,0
71,BR,2025,4,0
72,CL,2020,1,353627
73,CL,2020,2,381996
74,CL,2020,3,416534
75,CL,2020,4,447182
76,CL,2021,1,476210
77,CL,2021,2,516332
78,CL,2021,3,550327
79,CL,2021,4,580937
80,CL,2022,1,615987
81,CL,2022,2,662314
82,CL,2022,3,704115
83,CL,2022,4,745778
84,CL,2023,1,782678
85,CL,2023,2,836314
86,CL,2023,3,880521
87,CL,2023,4,928630
88,CL,2024,1,969373
89,CL,2024,2,1027903
90,CL,2024,3,1081836
91,CL,2024,4,1137919
92,CL,2025,1,1181333
93,CL,2025,2,0
94,CL,2025,3,0
95,CL,2025,4,0
96,CO,2020,1,678828
97,CO,2020,2,754217
98,CO,2020,3,831521
99,CO,2020,4,906309
100,CO,2021,1,985427
101,CO,2021,2,1071589
102,CO,2021,3,1177190
103,CO,2021,4,1295439
104,CO,2022,1,1404443
105,CO,2022,2,1511733
106,CO,2022,3,1641050
107,CO,2022,4,1779307
108,CO,2023,1,1921849
109,CO,2023,2,2067048
110,CO,2023,3,2200537
111,CO,2023,4,2321957
112,CO,2024,1,2446835
113,CO,2024,2,2591481
114,CO,2024,3,2757754
115,CO,2024,4,2911711
116,CO,2025,1,3071171
117,CO,2025,2,0
118,CO,2025,3,0
119,CO,2025,4,0
120,EC,2020,1,138828
121,EC,2020,2,153193
122,EC,2020,3,169760
123,EC,2020,4,185201
124,EC,2021,1,202505
125,EC,2021,2,221886
126,EC,2021,3,244612
127,EC,2021,4,263302
128,EC,2022,1,285145
129,EC,2022,2,308279
130,EC,2022,3,332621
131,EC,2022,4,355371
132,EC,2023,1,382366
133,EC,2023,2,411881
134,EC,2023,3,437206
135,EC,2023,4,465305
136,EC,2024,1,495279
137,EC,2024,2,529854
138,EC,2024,3,563309
139,EC,2024,4,599489
140,EC,2025,1,641690
141,EC,2025,2,0
142,EC,2025,3,0
143,EC,2025,4,0
144,GF,2020,1,849
145,GF,2020,2,1019
146,GF,2020,3,859
147,GF,2020,4,884
148,GF,2021,1,1092
149,GF,2021,2,1198
150,GF,2021,3,1195
151,GF,2021,4,1316
152,GF,2022,1,1378
153,GF,2022,2,1720
154,GF,2022,3,1967
155,GF,2022,4,1809
156,GF,2023,1,2000
157,GF,2023,2,1988
158,GF,2023,3,1992
159,GF,2023,4,2036
160,GF,2024,1,2161
161,GF,2024,2,2232
162,GF,2024,3,2320
163,GF,2024,4,2792
164,GF,2025,1,3065
165,GF,2025,2,0
166,GF,2025,3,0
167,GF,2025,4,0
168,GY,2020,1,2090
169,GY,2020,2,2167
170,GY,2020,3,2297
171,GY,2020,4,2678
172,GY,2021,1,2874
173,GY,2021,2,3242
174,GY,2021,3,3418
175,GY,2021,4,3674
176,GY,2022,1,3996
177,GY,2022,2,4175
178,GY,2022,3,4409
179,GY,2022,4,4430
180,GY,2023,1,4560
181,GY,2023,2,4778
182,GY,2023,3,4978
183,GY,2023,4,5531
184,GY,2024,1,5669
185,GY,2024,2,5908
186,GY,2024,3,6317
187,GY,2024,4,6457
188,GY,2025,1,7650
189,GY,2025,2,0
190,GY,2025,3,0
191,GY,2025,4,0
192,PE,2020,1,356948
193,PE,2020,2,391794
194,PE,2020,3,424103
195,PE,2020,4,456011
196,PE,2021,1,485312
197,PE,2021,2,527124
198,PE,2021,3,567869
199,PE,2021,4,609800
200,PE,2022,1,652580
201,PE,2022,2,704939
202,PE,2022,3,753704
203,PE,2022,4,805264
204,PE,2023,1,852209
205,PE,2023,2,913172
206,PE,2023,3,969559
207,PE,2023,4,1021424
208,PE,2024,1,1070001
209,PE,2024,2,1138879
210,PE,2024,3,1207493
211,PE,2024,4,1280517
212,PE,2025,1,1336842
213,PE,2025,2,0
214,PE,2025,3,0
215,PE,2025,4,0
216,PY,2020,1,29848
217,PY,2020,2,32439
218,PY,2020,3,35277
219,PY,2020,4,38083
220,PY,2021,1,40556
221,PY,2021,2,43505
222,PY,2021,3,47050
223,PY,2021,4,49690
224,PY,2022,1,53735
225,PY,2022,2,57150
226,PY,2022,3,60167
227,PY,2022,4,64814
228,PY,2023,1,70083
229,PY,2023,2,77151
230,PY,2023,3,83107
231,PY,2023,4,83370
232,PY,2024,1,89561
233,PY,2024,2,100312
234,PY,2024,3,109095
235,PY,2024,4,120570
236,PY,2025,1,126185
237,PY,2025,2,0
238,PY,2025,3,0
239,PY,2025,4,0
240,SR,2020,1,1656
241,SR,2020,2,1858
242,SR,2020,3,2146
243,SR,2020,4,2356
244,SR,2021,1,2865
245,SR,2021,2,3124
246,SR,2021,3,3014
247,SR,2021,4,3091
248,SR,2022,1,3406
249,SR,2022,2,3584
250,SR,2022,3,4005
251,SR,2022,4,4176
252,SR,2023,1,4450
253,SR,2023,2,4661
254,SR,2023,3,4851
255,SR,2023,4,4980
256,SR,2024,1,5162
257,SR,2024,2,5389
258,SR,2024,3,5461
259,SR,2024,4,5584
260,SR,2025,1,5915
261,SR,2025,2,0
262,SR,2025,3,0
263,SR,2025,4,0
264,UY,2020,1,65571
265,UY,2020,2,70318
266,UY,2020,3,76842
267,UY,2020,4,86919
268,UY,2021,1,93211
269,UY,2021,2,96591
270,UY,2021,3,104751
271,UY,2021,4,112746
272,UY,2022,1,124049
273,UY,2022,2,135330
274,UY,2022,3,149288
275,UY,2022,4,160292
276,UY,2023,1,172686
277,UY,2023,2,181190
278,UY,2023,3,198316
279,UY,2023,4,209424
280,UY,2024,1,215937
281,UY,2024,2,226058
282,UY,2024,3,238183
283,UY,2024,4,251275
284,UY,2025,1,257655
285,UY,2025,2,0
286,UY,2025,3,0
287,UY,2025,4,0
288,VE,2020,1,104299
289,VE,2020,2,111811
290,VE,2020,3,121298
291,VE,2020,4,129941
292,VE,2021,1,141092
293,VE,2021,2,153270
294,VE,2021,3,165237
295,VE,2021,4,175078
296,VE,2022,1,190373
297,VE,2022,2,203298
298,VE,2022,3,221382
299,VE,2022,4,234444
300,VE,2023,1,255496
301,VE,2023,2,273051
302,VE,2023,3,288355
303,VE,2023,4,304615
304,VE,2024,1,321927
305,VE,2024,2,339253
306,VE,2024,3,353254
307,VE,2024,4,362967
308,VE,2025,1,380857
309,VE,2025,2,0
310,VE,2025,3,0
311,VE,2025,4,0
